country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-07-2026 18:00:00",25.859655,85.77944,PM10,5,199,48
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","09-07-2026 18:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","09-07-2026 18:00:00",26.2271665,84.3570427,SO2,4,10,6
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","09-07-2026 18:00:00",26.2271665,84.3570427,CO,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","09-07-2026 18:00:00",30.751462,76.762879,NH3,14,14,14
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","09-07-2026 18:00:00",30.735567,76.775714,PM10,4,36,22
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","09-07-2026 18:00:00",30.735567,76.775714,NO2,4,15,7
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","09-07-2026 18:00:00",30.735567,76.775714,SO2,2,5,4
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","09-07-2026 18:00:00",30.735567,76.775714,OZONE,3,10,7
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","09-07-2026 18:00:00",21.194815,81.31477,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","09-07-2026 18:00:00",21.194815,81.31477,CO,1,9,6
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-07-2026 18:00:00",21.224231,81.40835,PM2.5,19,68,42
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-07-2026 18:00:00",21.224231,81.40835,PM10,12,73,44
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-07-2026 18:00:00",21.224231,81.40835,OZONE,12,17,15
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","09-07-2026 18:00:00",22.08815,82.13737,PM10,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","09-07-2026 18:00:00",22.08815,82.13737,SO2,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","09-07-2026 18:00:00",22.08815,82.13737,OZONE,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","09-07-2026 18:00:00",22.118125,83.140608,PM2.5,7,59,25
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-07-2026 18:00:00",22.348441,82.549611,PM10,12,45,26
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-07-2026 18:00:00",22.348441,82.549611,SO2,6,13,10
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-07-2026 18:00:00",22.348441,82.549611,CO,20,28,24
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","09-07-2026 18:00:00",24.792403,84.992416,PM10,20,151,80
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","09-07-2026 18:00:00",24.762518,84.982348,OZONE,16,30,26
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-07-2026 18:00:00",25.697189,85.2459,PM2.5,27,82,58
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-07-2026 18:00:00",25.697189,85.2459,NO2,6,19,10
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-07-2026 18:00:00",25.697189,85.2459,OZONE,33,52,43
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","09-07-2026 18:00:00",25.560083,87.553265,NO2,2,2,2
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","09-07-2026 18:00:00",26.0881305,87.93840336,PM10,49,79,63
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","09-07-2026 18:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","09-07-2026 18:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","09-07-2026 18:00:00",27.308328,84.531742,NH3,1,1,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","09-07-2026 18:00:00",27.308328,84.531742,SO2,16,18,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-07-2026 18:00:00",26.63086,84.90051,OZONE,56,59,57
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","09-07-2026 18:00:00",26.1403345,85.3650192,PM10,22,45,29
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","09-07-2026 18:00:00",26.1209,85.3647,NO2,17,24,19
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","09-07-2026 18:00:00",26.1209,85.3647,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","09-07-2026 18:00:00",22.368195,82.746431,PM2.5,16,20,19
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","09-07-2026 18:00:00",22.368195,82.746431,OZONE,8,9,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","09-07-2026 18:00:00",22.1910172,83.5197009,OZONE,61,94,79
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","09-07-2026 18:00:00",21.371751,81.664929,PM10,10,104,53
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","09-07-2026 18:00:00",21.258815,81.578979,SO2,3,5,4
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","09-07-2026 18:00:00",21.258815,81.578979,CO,16,24,20
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","09-07-2026 18:00:00",21.258815,81.578979,OZONE,9,15,13
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-07-2026 18:00:00",21.237755,81.705301,SO2,2,6,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-07-2026 18:00:00",22.06631475,83.33820077,PM10,36,91,68
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-07-2026 18:00:00",22.06631475,83.33820077,CO,15,21,17
India,Delhi,Delhi,"Pusa, Delhi - IITM","09-07-2026 18:00:00",28.63611,77.173332,NH3,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IITM","09-07-2026 18:00:00",28.63611,77.173332,OZONE,29,49,39
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","09-07-2026 18:00:00",28.611281,77.237738,PM10,5,57,29
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","09-07-2026 18:00:00",28.611281,77.237738,NH3,8,13,10
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","09-07-2026 18:00:00",16.536107,80.594233,SO2,5,20,12
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","09-07-2026 18:00:00",16.536107,80.594233,OZONE,15,32,24
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","09-07-2026 18:00:00",16.486692,80.699436,PM2.5,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","09-07-2026 18:00:00",16.486692,80.699436,CO,21,31,26
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-07-2026 18:00:00",16.554731,80.64911,NH3,3,6,5
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-07-2026 18:00:00",16.554731,80.64911,OZONE,18,50,31
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-07-2026 18:00:00",17.72,83.3,SO2,3,34,15
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-07-2026 18:00:00",17.72,83.3,OZONE,24,47,36
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-07-2026 18:00:00",27.103358,93.679645,PM10,2,40,14
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-07-2026 18:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-07-2026 18:00:00",26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-07-2026 18:00:00",26.071318,91.87488,CO,38,57,49
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,PM10,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,OZONE,16,51,27
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-07-2026 18:00:00",25.42742023,86.13886079,CO,17,18,17
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-07-2026 18:00:00",25.42742023,86.13886079,OZONE,39,41,40
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-07-2026 18:00:00",26.80365,84.51954,NO2,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-07-2026 18:00:00",26.80365,84.51954,CO,31,46,38
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","09-07-2026 18:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
