date, pm25, pm10, o3, no2, so2, co
2026/7/1, 90, 63, 27, 14, 2, 9
2026/7/2, 87, 73, 15, 15, 3, 8
2026/7/3, 120, 81, 10, 16, 3, 8
2026/7/4, 137, 82, 11, 20, 2, 11
2026/7/5, 125, 62, 9, 15, 3, 7
2026/7/6, 94, 57, 14, 15, 2, 10
2026/7/7, 82, 47, 209, 10, 2, 8
2026/7/8, 84, 43, 12, 7, 2, 6
2026/7/9, 64, 64, 7, 9, 3, 7
2026/7/10, 102, 144, 7, 3, 1, 7
2026/7/11, 127, 267, 7, 19, 2, 7
2026/7/12, 133, 129, 6, 8, 2, 5
2026/7/13, 105, 124, 6, 10, 3, 8
2026/7/14, 106, 103, 7, 9, 3, 8
2026/7/15, 97, 121, 6, 9, 4, 9
2026/7/16, 114, 131, 7, 13, 4, 9
2026/7/17, 119, 117, 4, 10, 4, 6
2026/7/18, 113, 110, 11, 8, 4, 7
2026/7/19, 121, 75, 10, 10, 3, 8
2026/7/20, 111, , , , , 
2026/4/1, 106, 134, 71, 36, 9, 3
2026/4/2, 154, 333, 42, 20, 4, 3
2026/4/3, 141, 83, 61, 20, 5, 3
2026/4/4, 117, 88, 63, 22, 5, 3
2026/4/5, 123, 84, 58, 23, 5, 3
2026/4/6, 105, 84, 22, 24, 5, 3
2026/4/7, 106, 52, 38, 16, 3, 3
2026/4/8, 81, 69, 27, 18, 4, 3
2026/4/9, 100, 88, 26, 13, 6, 5
2026/4/10, 74, 100, 28, 19, 5, 1
2026/4/11, 94, 125, 29, 22, 4, 
2026/4/12, 126, 107, 34, 31, 7, 2
2026/4/13, 125, 111, 37, 36, 7, 7
2026/4/14, 156, 136, 34, 35, 9, 3
2026/4/15, 143, 198, 27, 49, 10, 4
2026/4/16, 189, 223, 7, 40, 9, 
2026/4/17, 174, 134, 4, 33, 10, 10
2026/4/18, 156, 204, 13, 31, 11, 5
2026/4/19, 178, 131, 26, 25, 10, 3
2026/4/20, 128, 132, 29, 28, 10, 2
2026/4/21, 136, 154, 28, 32, 13, 6
2026/4/22, 145, 141, 23, 32, 10, 10
2026/4/23, 120, 172, 34, 36, 11, 8
2026/4/24, 165, 188, 29, 34, 13, 4
2026/4/25, 163, 155, 28, 28, 13, 6
2026/4/26, 155, 207, 35, 28, 11, 21
2026/4/27, 159, 196, 29, 19, 9, 6
2026/4/28, 161, 117, 25, 23, 12, 6
2026/4/29, 132, 111, 27, 23, 9, 4
2026/4/30, 128, 78, 29, 18, 8, 25
2026/5/1, 105, 96, 41, 19, 7, 5
2026/5/2, 152, 91, 27, 15, 4, 
2026/5/3, 113, 48, 21, 14, 5, 1
2026/5/4, 57, 57, 28, 15, 5, 
2026/5/5, 92, 95, 43, 24, 5, 11
2026/5/6, 142, 75, 29, 18, 4, 5
2026/5/7, 99, 73, 28, 18, 4, 3
2026/5/8, 110, 84, 33, 21, 4, 6
2026/5/9, 128, 92, 31, 19, 5, 1
2026/5/10, 137, 98, 28, 22, 17, 4
2026/5/11, 148, 118, 31, 19, 12, 1
2026/5/12, 153, 121, 31, 21, 7, 8
2026/5/13, 144, 96, 49, 20, 6, 4
2026/5/14, 106, 104, 39, 18, 6, 7
2026/5/15, 107, 107, 41, 28, 8, 6
2026/5/16, 137, 126, 34, 21, 7, 5
2026/5/17, 130, 129, 34, 21, 8, 3
2026/5/18, 122, 143, 27, 26, 10, 2
2026/5/19, 120, 113, 26, 24, 8, 3
2026/5/20, 105, 199, 21, 20, 5, 4
2026/5/21, 109, 129, 31, 19, 6, 4
2026/5/22, 112, 162, 29, 20, 7, 4
2026/5/23, 157, 127, 22, 24, 11, 7
2026/5/24, 122, 226, 18, 16, 7, 3
2026/5/25, 150, 158, 39, 17, 8, 10
2026/5/26, 140, 127, 26, 31, 9, 12
2026/5/27, 124, 131, 30, 23, 8, 13
2026/5/28, 146, 71, 23, 13, 4, 53
2026/5/29, 74, 63, 22, 13, 4, 15
2026/5/30, 71, 54, 17, 12, 2, 9
2026/5/31, 72, 62, 22, 14, 3, 8
2026/6/1, 90, 73, 21, 14, 4, 1
2026/6/2, 108, 99, 37, 22, 8, 3
2026/6/3, 136, 105, 25, 22, 5, 2
2026/6/4, 115, 102, 25, 20, 6, 3
2026/6/5, 106, 138, 25, 25, 5, 3
2026/6/6, 130, 108, 23, 19, 8, 1
2026/6/7, 85, 108, 27, 19, 9, 
2026/6/8, 87, 182, 33, 20, 7, 1
2026/6/9, 102, 116, 17, 19, 7, 4
2026/6/10, 91, 88, 20, 18, 7, 1
2026/6/11, 92, 48, 14, 10, 6, 2
2026/6/12, 85, 75, 33, 14, 7, 3
2026/6/13, 99, 112, 26, 18, 5, 2
2026/6/14, 127, 109, 17, 11, 6, 2
2026/6/15, 76, 83, 18, 18, 5, 6
2026/6/16, 96, 88, 26, 16, 10, 6
2026/6/17, 83, 115, 23, 14, 9, 1
2026/6/18, 118, 97, 24, 7, 8, 7
2026/6/19, 84, 100, 21, 16, 11, 3
2026/6/20, 108, 89, 18, 12, 9, 3
2026/6/21, 84, 213, 23, 13, 9, 1
2026/6/22, 82, 100, 24, 22, 11, 2
2026/6/23, 111, 77, 25, 15, 8, 4
2026/6/24, 83, 89, 23, 21, 9, 9
2026/6/25, 98, 82, 24, 14, 7, 10
2026/6/26, 78, 93, 29, 14, 9, 6
2026/6/27, 111, 107, 30, 16, 8, 10
2026/6/28, 122, 117, 19, 18, 9, 20
2026/6/29, 106, 127, 25, 11, 8, 15
2026/6/30, 101, 73, 10, 13, 4, 9
2026/1/1, 304, 99, 23, 14, 3, 3
2026/1/2, 176, 132, 5, 20, 4, 4
2026/1/3, 195, 136, 22, 20, 5, 5
2026/1/4, 197, 129, 31, 19, 4, 5
2026/1/5, 189, 159, 13, 20, 4, 4
