date,station,pm25,pm10,no2,co,o3,so2,latitude,longitude,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,relative_humidity_2m_max,precipitation_sum,wind_speed_10m_mean,wind_speed_10m_max,wind_direction_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum,shortwave_radiation_mean
2021-08-01,"Borivali East, Mumbai - MPCB",6.36,32.04,0.91,0.14,6.53,29.22,19.229,72.8649,26.491666666666664,25.2,28.3,83.66666666666667,74,90,4.9,21.320833333333333,27.9,253.91666666666663,1002.8875,79.0,4895.0,203.95833333333331
2021-08-02,"Borivali East, Mumbai - MPCB",7.75,34.66,1.42,0.2,6.45,30.5,19.229,72.8649,26.066666666666663,24.9,28.0,86.58333333333333,78,93,5.8,17.566666666666666,21.3,247.83333333333331,1002.9666666666668,97.25,4612.0,192.16666666666663
2021-08-03,"Borivali East, Mumbai - MPCB",6.84,27.1,0.91,0.23,6.43,30.14,19.229,72.8649,25.825,24.7,27.8,91.41666666666669,82,95,10.2,16.1375,20.3,241.25,1004.1166666666668,98.75,3637.0,151.54166666666666
2021-08-04,"Borivali East, Mumbai - MPCB",7.74,38.86,0.77,0.21,6.49,29.86,19.229,72.8649,25.941666666666663,24.6,27.0,90.20833333333331,84,95,6.4,17.208333333333332,21.1,243.91666666666663,1004.1375,95.79166666666669,3056.0,127.33333333333331
2021-08-05,"Borivali East, Mumbai - MPCB",9.56,52.32,1.26,0.26,6.46,34.93,19.229,72.8649,26.47083333333333,24.8,28.5,87.75,79,94,5.8,16.783333333333335,21.6,253.16666666666663,1002.3833333333332,89.625,5032.0,209.66666666666663
2021-08-06,"Borivali East, Mumbai - MPCB",9.58,52.32,0.75,0.26,6.46,34.93,19.229,72.8649,26.433333333333334,25.2,28.5,87.375,79,94,4.9,14.670833333333334,21.4,251.58333333333331,1001.6583333333332,65.58333333333333,5240.0,218.33333333333331
2021-08-07,"Borivali East, Mumbai - MPCB",10.59,44.53,0.87,0.26,6.61,31.51,19.229,72.8649,26.258333333333336,24.7,28.2,89.41666666666667,83,95,2.9,10.533333333333331,14.4,242.54166666666663,1002.4583333333334,60.54166666666666,4754.0,198.08333333333331
2021-08-08,"Borivali East, Mumbai - MPCB",11.54,35.97,0.52,0.17,6.66,31.19,19.229,72.8649,26.15833333333333,24.5,28.2,90.75,83,98,4.1,8.65,12.4,216.625,1003.675,79.29166666666667,4841.0,201.70833333333331
2021-08-09,"Borivali East, Mumbai - MPCB",14.55,47.56,1.18,0.29,6.66,31.98,19.229,72.8649,26.5125,24.9,28.8,88.875,80,96,3.0,9.016666666666667,14.8,220.20833333333331,1004.7833333333332,87.79166666666667,5280.0,220.0
2021-08-10,"Borivali East, Mumbai - MPCB",11.98,39.59,0.73,0.24,6.61,31.48,19.229,72.8649,26.09166666666667,24.7,27.7,90.20833333333331,85,95,3.3000000000000003,8.991666666666667,14.8,224.04166666666663,1004.75,95.20833333333331,4278.0,178.25
2021-08-11,"Borivali East, Mumbai - MPCB",9.67,28.17,0.83,0.28,6.67,30.44,19.229,72.8649,26.070833333333336,24.5,28.0,88.625,82,95,4.8,10.220833333333331,13.9,243.91666666666663,1004.7458333333334,71.54166666666667,4857.0,202.375
2021-08-12,"Borivali East, Mumbai - MPCB",12.46,36.45,0.85,0.28,6.71,32.23,19.229,72.8649,26.241666666666664,24.8,28.0,87.95833333333333,78,96,4.6,9.933333333333334,15.3,255.0,1005.4625,88.25,4480.0,186.66666666666663
2021-08-13,"Borivali East, Mumbai - MPCB",10.01,33.73,0.78,0.27,6.73,32.19,19.229,72.8649,26.075,25.1,28.1,88.41666666666667,82,94,4.1000000000000005,11.033333333333331,16.0,251.83333333333331,1004.3791666666666,79.20833333333333,4745.0,197.70833333333331
2021-08-14,"Borivali East, Mumbai - MPCB",9.18,31.69,0.83,0.3,6.67,30.7,19.229,72.8649,25.52916666666667,24.3,27.0,90.33333333333331,84,95,10.7,11.083333333333334,15.4,243.33333333333331,1002.8125,90.66666666666669,4147.0,172.79166666666666
