country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",13-07-2026 16:00:00,19.0364585,72.8954371,CO,14,15,14
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",13-07-2026 16:00:00,19.0364585,72.8954371,OZONE,5,6,5
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",13-07-2026 16:00:00,19.04946,72.923,NH3,7,11,9
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",13-07-2026 16:00:00,19.1878657,72.8304069,NH3,9,10,9
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",13-07-2026 16:00:00,19.1878657,72.8304069,SO2,3,4,3
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",13-07-2026 16:00:00,19.1878657,72.8304069,OZONE,28,48,39
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",13-07-2026 16:00:00,19.11074,72.86084,PM2.5,12,28,22
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",13-07-2026 16:00:00,19.215859,72.831718,PM2.5,4,23,12
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",13-07-2026 16:00:00,19.047,72.8746,NH3,6,6,6
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",13-07-2026 16:00:00,19.10078,72.87462,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",13-07-2026 16:00:00,19.175,72.9419,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",13-07-2026 16:00:00,19.175,72.9419,NO2,12,14,13
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",13-07-2026 16:00:00,19.175,72.9419,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-07-2026 16:00:00,19.053536,72.84643,PM2.5,6,73,21
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-07-2026 16:00:00,19.053536,72.84643,CO,8,17,14
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",13-07-2026 16:00:00,19.23241,72.86895,NO2,14,27,21
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",13-07-2026 16:00:00,19.0863,72.8888,SO2,29,29,29
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",13-07-2026 16:00:00,19.000083,72.813993,PM2.5,24,39,28
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",13-07-2026 16:00:00,19.000083,72.813993,PM10,54,72,64
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,OZONE,7,11,9
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",13-07-2026 16:00:00,19.0632143,72.8456324,PM10,40,56,49
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",13-07-2026 16:00:00,19.0632143,72.8456324,NH3,4,4,4
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-07-2026 16:00:00,19.065931,72.862131,PM10,49,71,57
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",13-07-2026 16:00:00,19.065931,72.862131,SO2,2,3,3
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",13-07-2026 16:00:00,19.19709,72.82204,PM2.5,3,46,18
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",13-07-2026 16:00:00,19.19709,72.82204,NO2,8,36,20
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,NO2,22,24,23
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",13-07-2026 16:00:00,19.0364585,72.8954371,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",13-07-2026 16:00:00,19.0364585,72.8954371,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",13-07-2026 16:00:00,19.1653323,72.922099,SO2,2,19,13
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",13-07-2026 16:00:00,18.9936162,72.8128113,NH3,10,29,15
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,NO2,11,32,21
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",13-07-2026 16:00:00,18.9767,72.838,CO,16,20,18
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",13-07-2026 16:00:00,19.0632143,72.8456324,SO2,2,3,3
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",13-07-2026 16:00:00,19.060498,72.923356,PM10,35,105,77
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",13-07-2026 16:00:00,19.060498,72.923356,SO2,3,16,7
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",13-07-2026 16:00:00,19.060498,72.923356,OZONE,8,11,10
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",13-07-2026 16:00:00,19.19709,72.82204,CO,20,30,25
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,PM2.5,22,58,33
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,PM10,57,74,63
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,NH3,2,4,3
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",13-07-2026 16:00:00,18.96702,72.84214,OZONE,22,25,23
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",13-07-2026 16:00:00,19.0364585,72.8954371,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",13-07-2026 16:00:00,19.04946,72.923,CO,31,41,38
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",13-07-2026 16:00:00,19.000084,72.85673,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",13-07-2026 16:00:00,19.047,72.8746,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",13-07-2026 16:00:00,19.10078,72.87462,NH3,0,0,0
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",13-07-2026 16:00:00,18.897756,72.81332,NO2,86,111,100
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",13-07-2026 16:00:00,18.897756,72.81332,NH3,7,8,7
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",13-07-2026 16:00:00,18.897756,72.81332,SO2,1,24,8
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",13-07-2026 16:00:00,18.897756,72.81332,CO,4,16,10
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",13-07-2026 16:00:00,18.897756,72.81332,OZONE,22,25,24
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",13-07-2026 16:00:00,19.083694,72.920967,SO2,0,4,1
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",13-07-2026 16:00:00,19.053536,72.84643,PM10,51,84,63
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",13-07-2026 16:00:00,19.0863,72.8888,NO2,6,7,7
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",13-07-2026 16:00:00,19.0863,72.8888,CO,14,17,16
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",13-07-2026 16:00:00,19.000083,72.813993,NH3,1,2,2
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",13-07-2026 16:00:00,19.1375,72.915056,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",13-07-2026 16:00:00,19.1653323,72.922099,NO2,19,21,20
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",13-07-2026 16:00:00,19.11074,72.86084,CO,1,4,3
