station,latitude,longitude,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,relative_humidity_2m_max,precipitation_sum,wind_speed_10m_mean,wind_speed_10m_max,wind_direction_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum,shortwave_radiation_mean
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-03,26.441666666666666,25.6,27.4,92.29166666666667,88,95,15.2,13.587499999999999,17.8,219.41666666666666,1000.9791666666666,98.70833333333333,1917.0,79.875
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-04,26.883333333333336,26.1,27.7,90.91666666666667,87,94,21.5,16.6125,21.5,228.20833333333334,1000.5666666666666,97.45833333333333,3173.0,132.20833333333334
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-05,26.52916666666667,25.8,27.8,91.91666666666667,86,95,15.9,19.429166666666667,24.6,232.875,999.3791666666666,99.33333333333333,3275.0,136.45833333333334
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-06,26.258333333333336,25.5,27.2,91.58333333333333,86,94,20.2,22.15833333333333,25.4,231.70833333333334,998.9708333333333,99.625,2248.0,93.66666666666667
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-07,26.59166666666667,25.7,27.7,90.83333333333333,87,93,19.6,22.183333333333334,26.1,233.75,999.8041666666667,99.45833333333333,2503.0,104.29166666666667
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-08,26.7,25.7,28.0,91.04166666666667,86,94,15.3,20.566666666666666,24.2,224.54166666666666,1001.0875,98.79166666666667,3148.0,131.16666666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-09,26.6375,25.8,27.7,90.41666666666667,85,94,14.0,22.65833333333333,27.7,222.5,1000.5375,87.25,3842.0,160.08333333333334
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-10,26.375,25.6,27.5,91.0,85,94,33.0,20.1875,27.6,232.79166666666666,1000.7958333333332,91.75,3406.0,141.91666666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-11,26.454166666666666,25.5,27.3,90.45833333333333,87,94,17.4,20.337500000000002,23.5,227.83333333333334,1002.9333333333334,99.54166666666667,2433.0,101.375
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-12,26.525000000000002,25.6,27.5,91.08333333333333,88,95,6.2,19.45,26.4,207.58333333333334,1004.0333333333333,98.66666666666667,3130.0,130.41666666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-13,26.566666666666666,25.3,27.9,91.75,85,96,5.0,16.412499999999998,19.9,210.83333333333334,1004.9625,93.0,3943.0,164.29166666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-14,26.97083333333333,25.8,28.3,89.83333333333333,85,95,5.6000000000000005,15.6625,19.5,237.125,1004.3166666666666,75.91666666666667,4674.0,194.75
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-15,27.224999999999998,25.8,29.3,88.0,76,95,5.1000000000000005,16.995833333333334,22.2,237.45833333333334,1003.0666666666666,54.458333333333336,5319.0,221.625
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-16,26.691666666666666,25.6,28.1,90.41666666666667,86,95,6.4,14.395833333333334,17.1,225.66666666666666,1003.8000000000001,68.70833333333333,4464.0,186.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-17,26.7625,25.5,28.2,89.33333333333333,82,95,7.4,12.016666666666666,16.5,233.875,1003.7791666666667,59.083333333333336,4349.0,181.20833333333334
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-18,27.02916666666667,25.6,28.4,89.16666666666667,83,95,4.1000000000000005,11.091666666666667,14.8,236.20833333333334,1002.1875,60.041666666666664,5088.0,212.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-19,27.458333333333332,26.0,29.0,87.125,79,94,2.4,7.345833333333332,14.2,248.25,1000.4125,87.25,5263.0,219.29166666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-20,27.433333333333334,26.3,28.8,88.54166666666667,83,95,20.1,5.166666666666667,13.5,263.25,999.5666666666666,98.625,3712.0,154.66666666666666
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-21,27.120833333333334,25.7,29.1,88.66666666666667,80,95,84.9,8.166666666666666,14.5,235.66666666666666,998.3041666666667,85.33333333333333,3705.0,154.375
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-22,27.7,26.0,29.6,87.70833333333333,78,97,5.1,9.995833333333334,19.5,180.70833333333334,997.5208333333334,60.0,5088.0,212.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-23,27.287499999999998,26.0,28.8,89.04166666666667,83,94,12.5,17.466666666666665,33.1,220.54166666666666,998.3625000000001,86.08333333333333,3869.0,161.20833333333334
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-24,26.525000000000002,26.0,27.2,91.33333333333333,88,95,197.7,20.470833333333335,31.5,249.125,1000.5875,99.58333333333333,1959.0,81.625
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-25,26.695833333333336,26.1,27.7,90.625,86,93,25.6,16.5625,20.9,249.75,1003.2791666666667,99.91666666666667,2187.0,91.125
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-26,26.425,25.7,27.5,90.125,84,93,28.4,19.179166666666667,23.5,250.91666666666666,1002.5500000000001,99.91666666666667,2449.0,102.04166666666667
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-27,26.070833333333336,25.6,27.2,91.125,87,94,38.2,21.791666666666668,26.3,256.875,1002.2708333333334,98.91666666666667,1585.0,66.04166666666667
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-28,26.629166666666666,25.5,27.4,88.04166666666667,83,93,11.3,20.595833333333335,26.3,259.6666666666667,1002.2083333333334,99.54166666666667,1932.0,80.5
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-29,25.912499999999998,25.4,26.3,90.91666666666667,86,94,30.6,21.45,27.0,260.5416666666667,1001.6041666666666,99.625,1502.0,62.583333333333336
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-30,25.8875,25.5,26.5,90.29166666666667,87,93,68.6,25.2375,30.1,256.2083333333333,1002.2875,99.58333333333333,1191.0,49.625
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-07-31,26.099999999999998,25.4,26.6,89.95833333333333,86,93,31.8,22.95,28.2,253.25,1003.3708333333334,99.66666666666667,1173.0,48.875
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-08-01,26.625,25.8,27.6,86.66666666666667,82,90,15.700000000000001,24.920833333333334,27.7,254.95833333333334,1002.7666666666668,97.58333333333333,1893.0,78.875
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,2019-08-02,26.320833333333336,25.3,28.1,89.20833333333333,79,94,28.3,26.483333333333334,31.6,246.41666666666666,1001.6708333333332,90.20833333333333,3427.0,142.79166666666666
